gcode,ReleaseDate,ListPrice,Brand,Series Title,Character Name,Sculptor,Scale,Size,Material
FIG-MOE-0954,2009-10-01 00:00:00,6264,Kotobukiya,Shining Wind,Celestia,Sho Kojima ,1/8,Approx. H110mm,
FIGURE-008511,2015-02-01 00:00:00,10165,Aquamarine,"""Lyrical Nanoha"" Series",Fate Testarossa(Fate T. Harlaown),Kazushi Kawasaki ,1/8,Approx. H180mm,
FIGURE-056461,2020-12-01 00:00:00,2200,Bandai,"""Evangelion"" Series",Asuka Langley Soryu(Asuka Langley Shikinami),,,18cm,
FIGURE-002150-R,2013-09-01 00:00:00,1080,former SEGA,Oreimo 2 (My Little Sister Can't Be This Cute 2nd Season),Kuroneko(Ruri Gokou),,,Approx. H20cm,
FIGURE-059295,2021-05-01 00:00:00,16280,Phat Company,Danganronpa 2 (Super Danganronpa 2),Chiaki Nanami,"Sakaki Kaoru, iTANDi ",1/8,Approx. H210mm,
FIGURE-013038,2015-10-01 00:00:00,17380,Blackberry,Kanojo x Kanojo x Kanojo,Akina Orifushi,Rei Azusa GunDoll,1/6,Approx. H150mm,
FIGURE-033504-R,2018-01-01 00:00:00,1980,FuRyu,Girls und Panzer,Katyusha,,,Approx. 17cm,
FIG-MOE-4950,2012-05-01 00:00:00,7020,,Oreimo (My Little Sister Can't Be This Cute),Kuroneko(Ruri Gokou),Chizuru Tsuru-no-yakata,1/8,Approx. H100mm,
FIGURE-000744,2013-08-01 00:00:00,9936,Griffon Enterprises,GJ-bu,Mao Amatsuka,Shimomizo Tsutsuji no Mitsu,1/8,Approx. H16cm,
FIG-MOE-0874,2009-09-01 00:00:00,18144,Kaitendo,Hellsing,Seras Victoria,,1/7,H480mm,"Polystone, PVC, ABS"
HOB-FIG-8478,2008-04-01 00:00:00,1728,GSI Creos,The Melancholy of Haruhi Suzumiya,Mikuru Asahina,,,,
HOB-FIG-3680,2007-09-01 00:00:00,4536,Kotobukiya,Yoake Mae yori Ruriiro na,Feena fam Earthlight,Yozo Ogawa ,1/8,Approx. H205mm,"PVC, Partially ABS"
HOB-FIG-4150,2006-09-01 00:00:00,5400,cLayz,Tsuki wa Higashi ni Hi wa Nishi ni,Honami Fujieda,Takeshi Miyagawa T's system.,1/6,,
FIGURE-005415-R,2014-10-01 00:00:00,11880,Alter,"""Evangelion"" Series",Asuka Langley Soryu(Asuka Langley Shikinami),Nobuta Revolve,1/7,Approx. H230mm,
FIGURE-030781,2017-12-01 00:00:00,16500,Daiki Kogyo,Iya na Kao Sarenagara Opantsu Misetemoraitai Hon,Chitose Itou,Yuzupon ,1/6,Approx. H255mm,
FIGURE-060054,2020-11-01 00:00:00,19580,Kotobukiya,"""Fate"" Series",Anastasia Nikolaevna Romanova,Yadokari ,1/7,H233mm (including base),PVC
FIG-MOE-4081,2011-12-01 00:00:00,10079,FREEing,Freezing,Satellizer L. Bridgette,Takayuki Shiragami ,1/8,Approx. H225mm,
FIG-MOE-2654,2011-08-01 00:00:00,8580,MegaHouse,Queen's Blade Rebellion,Liliana,Norio Kibayashi ,1/8,Approx. H210mm,
HOB-FIG-0878A,2004-09-01 00:00:00,3456,YAMATO,Darkstalkers (Vampire),Morrigan Aensland,Hisanori Sato Daikokuya Kobo,,Approx. 170mm,PVC
FIGURE-041404,2019-05-01 00:00:00,16280,SkyTube,Hana ya Chou ya,Yuzuka Morita,Katsuaki Nemoto ,1/6,Approx. L14cm,PVC
FIG-MOE-1017,2009-09-01 00:00:00,19580,Musashiya,Ikkitousen (Battle Vixens),Unchou Kan-u,WOOD ,1/6,Approx. L29cm,
FIG-MOE-4433-R,2012-05-01 00:00:00,9680,WING,SoniComi,Super Sonico,HOKUSOH ,1/6,,
FIG-MOE-2416,2012-06-01 00:00:00,6480,Kotobukiya,Oreimo (My Little Sister Can't Be This Cute),Kuroneko(Ruri Gokou),Tsukuru Shirahige ,1/8,Approx. H180mm,
FIG-MOE-1755,2010-07-01 00:00:00,14904,Kaitendo,Kizuato,Kaede Kashiwagi,ELLIOTT ,1/6,,"Candyresin/ Hair, Uniform, Underwear, Alternative Underwear: PVC"
FIG-MOE-0873,2009-09-01 00:00:00,15715,Mediation,E2,Shantiti,Takeshi Miyagawa T's system.,1/8,Approx. 15.5 x 17.5cm with Base,"PVC/ Base: PVC, ABS"
FIGURE-008780-R,2015-01-01 00:00:00,9680,Plum,Trinity Seven,Lilith Asami,,1/8,Approx. 225mm (including base),
FIGURE-004065-R,2014-07-01 00:00:00,11880,Alphamax,"""Fate"" Series",Nero Claudius(Saber/Caster),MOON ,1/8,Approx. H22cm,
FIGURE-053050,2019-12-01 00:00:00,14850,Bellfine,"""High School D x D"" Series",Asia Argento,Amaguri ,1/7,Approx. H145mm,"PVC, ABS, Cloth"
FIGURE-023615,2018-04-01 00:00:00,13800,Good Smile Company,Oh My Goddess! (Ah! My Goddess!),Belldandy,ATOMICBOM SUZUKI ,1/8,Approx. H300mm,
FIGURE-009547,2015-11-01 00:00:00,13824,Orca Toys,Toaru Majutsu no Index the Movie: Miracle of Endymion (A Certain Magical Index),Mikoto Misaka,Clumsy Zero ,1/6,Approx. L180mm,
HOB-FIG-6386,2008-12-01 00:00:00,4536,Kotobukiya,CLANNAD,Kyou Fujibayashi,Hiroyuki Tsumezuka ,1/8,Approx. H110mm,
HOB-FIG-9398,2008-10-01 00:00:00,8424,President Japan,Shining Wind,Kureha Touka(Touka Kureha),,,200 x 290 x 228mm,"Non-phthalate PVC, ABS"
FIG-MOE-6069,2012-11-01 00:00:00,10584,,Shining Hearts,Rouna Murasame,Koei Matsumoto ,1/6,Approx. H135mm,
FIGURE-044426-R,2019-06-01 00:00:00,1780,Taito,"""VOCALOID"" Series",Hatsune Miku,,,Approx. 18cm,
FIGURE-006868,2014-12-01 00:00:00,17050,,Original Character: Kurushima Seisakujo,Ruby,Keiko ,Approx. 1/8,Approx. 15cm (excluding base height),
HOB-FIG-3560B,2006-06-01 00:00:00,4104,MegaHouse,Keroro Gunso (Sgt. Frog),Koyuki Azumaya,,Approx. 1/8,Approx. 190mm,
FIGURE-014867,2016-04-01 00:00:00,19580,Aizu Project,Kanojo x Kanojo x Kanojo,Akina Orifushi,Sara ,1/6,Approx. H26cm,
FIGURE-058358-R,2020-01-01 00:00:00,780,FuRyu,Love Live!,Kotori Minami,,,Approx. 8cm x Approx. 10cm x Approx. 7cm,
FIG-MOE-06127-R,2006-07-01 00:00:00,4950,Kaiyodo,Jingai Makyo,Ignis,BOME ,1/7,H240mm,
FIGURE-043637-R,2018-11-01 00:00:00,1580,SEGA Interactive,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Ram,,,Approx. H21cm,
FIG-MOE-1510,2012-07-01 00:00:00,7920,Griffon Enterprises,Touhou Project,Youmu Konpaku,i-con ,1/8,Approx. H20cm,"ABS, PVC"
FIGURE-048672,2020-05-01 00:00:00,18480,Alter,"""THE IDOLM@STER"" Series",Syuko Shiomi,Missile ,1/7,Approx. H230mm,PVC
FIGURE-012529,2018-04-01 00:00:00,17064,Phat Company,No Game No Life,Shiro,"Koudai Abe, Suzunari Fenrir",1/7,Approx. H200mm (including base),"ABS, PVC"
FIG-MOE-5656,2012-08-01 00:00:00,6696,,Tekken,Asuka Kazama,Takaboku Busujima Busujimax,1/7,Approx. H210mm,
FIGURE-118845,2021-02-01 00:00:00,13200,Kotobukiya,G.I. Joe,Lady Jaye,Takaboku Busujima Busujimax,1/7,Approx. H235mm (including base),PVC
HOB-FIG-5456,2007-09-01 00:00:00,6994,Alter,Rozen Maiden,Shinku,Nekomaru ,,Approx. H190mm (non-scale),
FIG-MOE-2553-R,2012-03-01 00:00:00,10780,YAMATO,The Tower of Druaga,,Takeshi Miyagawa Clayz,,Approx. H230mm,
FIGURE-056107,2020-11-01 00:00:00,19800,amiami,"""THE IDOLM@STER"" Series",Minami Nitta,Hatioto Hatiotoshiki,1/8,Approx. H250mm,Figure: PVC (Partly ABS) Base: ABS
FIGURE-046278,2019-06-01 00:00:00,1160,Banpresto,Puella Magi Madoka Magica,Homura Akemi,,,22cm,
FIGURE-012120-R,2015-11-01 00:00:00,14080,Alphamax,"""Fate"" Series",Nero Claudius(Saber/Caster),Natsuki Manabe CREA MODE,1/7,Approx. H25cm not including umbrella,
FIGURE-118317,2021-02-01 00:00:00,15180,MegaHouse,NARUTO Shippuden,Kushina Uzumaki,Ryutaro Kaminaga Yamanekotei -nekohouse-,,Approx. H200mm,"PVC, ABS"
FIGURE-014553,2016-07-01 00:00:00,12500,Good Smile Company,Food Wars! Shokugeki no Soma,Erina Nakiri,Katsuaki Nemoto ,1/8,Approx. H275mm (including base),"ABS, PVC"
FIGURE-004830,2014-07-01 00:00:00,9072,,Bakemonogatari,Hitagi Senjougahara,suzu ATOMIC-BOM,1/8,Approx. H210mm,
FIGURE-038015,2019-07-01 00:00:00,11204,Good Smile Company,Saekano: How to Raise a Boring Girlfriend,Utaha Kasumigaoka(Utako Kasumi),Manabu Kato ,1/7,Approx. H235mm,ABS & PVC
HOB-FIG-2906-R,2006-05-01 00:00:00,5028,Max Factory,Zanma Taisei Demonbane,Al Azif,Taichi Katoh ,1/8,Approx. H170mm,
FIG-MOE-1939,2011-01-01 00:00:00,8022,OrchidSeed,SoniComi,Super Sonico,JYOJYO OX,1/7,Approx. H21cm,
FIG-MOE-6223,2012-09-01 00:00:00,9350,,Touhou Project,Remilia Scarlet,Akio Akiyama ,1/8,Approx. H19cm,
FIGURE-052365,2020-04-01 00:00:00,15180,MegaHouse,"""Aikatsu!"" Series",Aoi Kiriya,KIMA Lisasays,,Approx. H220mm,
HOB-FIG-6389,2007-12-01 00:00:00,7344,Chara-ani,The Familiar of Zero,Louise Francoise Le Blanc de La Valliere,Masami Ushiro ,1/8,Approx. H12cm,
FIGURE-041693-R,2019-04-01 00:00:00,23980,Hanabatake to Bishoujo,Namaiki!,Hina Nanami,Clumsy Zero ,1/5,Approx. H135mm,PVC
FIG-MOE-1863,2010-10-01 00:00:00,8743,e Jeuness,E2,Palette,Takeshi Miyagawa ,1/8,Approx. H15cm,
FIG-MOE-2450,2011-06-01 00:00:00,1007,Medicom Toy,Bakuman.,Ko Aoki,MOTOR KEN ,,Approx. 60mm,
FIG-MOE-2252,2019-01-01 00:00:00,3780,Bandai,HeartCatch PreCure!,Erika Kurumi(Cure Marine),,,Approx. H100mm,
HOB-FIG-4942,2007-07-01 00:00:00,4968,WAVE,Nadia: The Secret of Blue Water,Nadia,Miki Ousaka ,1/10,Approx. H160mm,"PVC, ABS"
FIGURE-011684,2015-09-01 00:00:00,13824,Kaitendo,Sword Art Online II,Shino Asada(Sinon),Deru ,1/7,Approx. H33cm (approx 23cm figure alone),
FIGURE-043117,2019-08-01 00:00:00,16093,With Fans!,"""Love Live!"" Series",Yoshiko Tsushima,Akimofu ,1/7,Approx. H215mm,ABS & PVC
FIGURE-043227-R,2019-06-01 00:00:00,19250,ques Q,Kantai Collection -Kan Colle-,Teruzuki,Imai moineau,,Approx. H23.5cm,PVC (Partial ABS)
FIGURE-058612,2021-03-01 00:00:00,19580,Hakoiri Musume,,,,1/6,Approx. L19cm,"PVC, ABS, PC, SBS, Silicone"
FIGURE-003991,2014-05-01 00:00:00,18144,Kotobukiya,Horizon in the Middle of Nowhere,Tomo Asama,Hirotoshi Nakamura ,1/8,Approx. H370mm,
FIGURE-026953,2017-03-01 00:00:00,15180,PULCHRA,"""VOCALOID"" Series",Yuzuki Yukari,moineau ,1/8,Approx. 190mm,Resin Cast
HOB-FIG-3929,2006-10-01 00:00:00,6380,Toy's Planning,Original Character: Chikotam,Mutsuki,JUN E.V.,,,"PVC, ABS"
FIG-MOE-5044,2012-09-01 00:00:00,9504,,The King of Fighters,Mai Shiranui,,1/6,,
FIG-MOE-1275,2010-02-01 00:00:00,8022,OrchidSeed,,,Yamato Sagami Sagami FC,1/7,Approx. H22cm,
FIG-MOE-0567,2009-05-01 00:00:00,1706,YAMATO,,,,,H9cm,"Non-Phthalate PVC, ABS"
HOB-FIG-3020,2006-01-01 00:00:00,7480,Amie-Grand,Neon Genesis Evangelion,Asuka Langley Soryu(Asuka Langley Shikinami),suzu ATOMIC-BOM,,Approx. H24cm,
FIG-MOE-6779,2012-10-01 00:00:00,8140,Griffon Enterprises,Ikkitousen (Battle Vixens),Unchou Kan-u,Ryouichi Ikeda ,1/7,Approx. H21 x 5cm,
FIGURE-045778-R,2019-11-01 00:00:00,17380,Alter,Love Live! School Idol Festival,Honoka Kosaka,Takafumi Tobita ,1/7,Approx. H150mm,PVC
FIGURE-026952,2017-02-01 00:00:00,14080,PULCHRA,Is the order a rabbit? (Gochuumon wa Usagi desu ka?),Cocoa Hoto(Cocoa),b-full PMG,1/8,Approx. 216mm,Resin Cast
FIG-MOE-2243-R,2011-05-01 00:00:00,8360,Chara-ani,Highschool of the Dead,Shizuka Marikawa,,1/8 Scale Pre-painted Complete Figure,Approx. H245mm,"Non-phthalate PVC, ABS"
HOB-FIG-4769B,2007-04-01 00:00:00,6264,Toy's Works,Super Robot Wars,Serena Recital,Genpachi Tokaimura Mokei no Oukoku,,Approx. H23cm,"PVC, ABS"
FIG-MOE-03807-R,2011-06-01 00:00:00,2380,Banpresto,Macross Frontier,Ranka Lee,KaNa Heavy Gauge,,Approx. H200mm,
FIG-MOE-6782,2012-10-01 00:00:00,8424,,Original Character,Ninja-ceptor Ichigo,,1/7,Approx. H22cm (not including base),"PVC, ABS"
FIGURE-018044,2016-09-01 00:00:00,9072,Phat Company,THE IDOLM@STER (THE IDOLMASTER),Azusa Miura,Yusuke Masaki ,1/8,Approx. H220mm,
FIGURE-045442,2019-08-01 00:00:00,16280,Q-six,Oideyo! Mizuryu Kei Land,Pakora,Nollgreco Q-six,1/6,Approx. H22cm,PVC
HOB-FIG-7798,2008-04-01 00:00:00,8580,New Line,ToHeart2 XRATED,Tamaki Kosaka,Goemon ,1/6,H26cm,
FIG-MOE-5174,2012-07-01 00:00:00,7480,Alphamax,K-On!,Ui Hirasawa,MOON ,1/7,Approx. H20cm,
FIGURE-039984,2018-09-01 00:00:00,12980,WAVE,Gurren Lagann,Yoko Littner(Teacher Yomako),Yozo Ogawa ,1/8,Approx. H22cm,PVC (partially ABS)
FIG-MOE-7182,2013-02-01 00:00:00,8856,,Rewrite,Sizuru Nakatsu,Justice ,1/7,Approx. H20cm,
HOB-FIG-2816,2006-01-01 00:00:00,3908,Good Smile Company,My-HiME,Natsuki Kuga,Miki Ousaka Cherry Blossom,1/10,Approx. H165mm,
FIGURE-009626,2015-06-01 00:00:00,10780,WAVE,Fate/stay night,Altria Pendragon(Saber/Saber Lily/Saber Alter),Musasabi YU-ko Knead,1/8,Approx. L20cm,
FIG-MOE-5718,2012-08-01 00:00:00,17064,Q-six,,,Takayuki Shiragami Yukishiro,1/6,Approx. H35cm,Polystone (Partly PVC)
FIG-MOE-0524,2009-05-01 00:00:00,6480,Kotobukiya,Hayate the Combat Butler (Hayate no Gotoku!),Ayumu Nishizawa,M Field ,1/6,Approx. H235mm (Approx. 247mm with base),
FIGURE-033585-R,2018-05-01 00:00:00,12980,Flare,"""Shining"" Series",Won Pairon,G.O. Cerberus Project TM,,Approx. H260mm,
FIGURE-009732,2015-05-01 00:00:00,14056,WING,Fate/stay night,Altria Pendragon(Saber/Saber Lily/Saber Alter),sai Knead,1/8,Approx. H210mm,
FIG-MOE-2496,2011-07-01 00:00:00,5280,Alter,Fate/stay night,Rin Tohsaka,Toshiaki Numakura ,1/8,Approx.  H105mm,
FIGURE-042534-R,2018-12-01 00:00:00,14850,Union Creative,To Love-Ru Darkness,Mikan Yuuki,Akabeko ,1/6,Approx. H15cm,"Main Part: ATBC-PVC, ABS/Base: ABS"
FIGURE-611019,2021-04-01 00:00:00,19580,SkyTube,,,TOMO ,1/6,Approx. H27cm (including base),PVC
FIGURE-008627,2019-03-01 00:00:00,6696,WAVE,Magical Girl Lyrical Nanoha StrikerS,Nanoha Takamachi,z-co ,1/10,Approx. H19cm,
FIGURE-052993,2020-05-01 00:00:00,19250,Hobby Stock,"""Date A Live"" Series",Tohka Yatogami,Akimofu ,1/7,Approx. H227mm,"ABS, PVC"
FIG-MOE-04612-R,2007-10-01 00:00:00,5170,Konami,beatmania,Iroha Umegiri,,1/8,Approx. H200mm,"PVC, ABS/ Base: ABS"
HOB-FIG-4366,2007-01-01 00:00:00,4860,Kaiyodo,Gunbuster,Noriko Takaya,BOME ,,Approx. H23cm,"PVC, ABS"
FIG-MOE-2191,2011-12-01 00:00:00,8424,YAMATO,SoniComi,Super Sonico,G.O. Cerberus Project TM,,Approx. H210mm,
FIGURE-023287,2017-04-01 00:00:00,10780,WAVE,"""Fate"" Series",Altria Pendragon(Saber/Saber Lily/Saber Alter),Kaoru Sakaki ,1/8,Approx. H16cm,
HOB-FIG-4349,2010-01-01 00:00:00,16280,New Line,,,Utamaro ,,Approx. H20cm,
HOB-FIG-3228-R,2006-04-01 00:00:00,4715,Max Factory,Da Capo,Aisia,Masanori Kuroda ,1/8,Approx. H190mm,
FIGURE-118947,2021-08-01 00:00:00,16800,Stronger,"""Fate"" Series",Mash Kyrielight (Mashu Kyrielite)(Shielder),Deira ,1/7,Approx. H31cm,PVC&ABS
FIGURE-118621,2021-07-01 00:00:00,29700,FREEing,Arifureta: From Commonplace to World's Strongest (Arifureta Shokugyou de Sekai Saikyou),Shea Haulia,Amasu Ringo Renmei,1/4,Approx. H320mm,PVC
FIG-MOE-03620-R,2010-07-01 00:00:00,7180,Griffon Enterprises,Touhou Project,Flandre Scarlet,i-con ,1/8,Approx. H200mm,
HOB-FIG-6710,2008-12-01 00:00:00,4536,Kotobukiya,Moetan,Ink Nijihara,Hiromitsu Morikawa ,,Approx. H200mm,
FIG-MOE-5601,2019-03-01 00:00:00,4104,WAVE,THE IDOLM@STER (THE IDOLMASTER),Ami Futami,Kano Shinota ,1/10,Approx. H160mm,
FIGURE-039777,2019-03-01 00:00:00,15180,ques Q,Touhou Project,Koishi Komeiji,Shima ice9,1/8,Approx. H19cm (To the top of the head),
HOB-FIG-1516,2004-10-01 00:00:00,2700,Takara Tomy A.R.T.S,Yami to Boshi to Hon no Tabibito,Lilith,,,,
FIG-MOE-8341,2013-06-01 00:00:00,15984,Daiki Kogyo,,Touko Kurosawa,5-Carat Brilliant cut,1/4,Approx. H210mm,
FIGURE-057412,2020-10-01 00:00:00,27500,Union Creative,"""Monogatari"" Series",Tsubasa Hanekawa,Design COCO ,,Black Hanekawa: Main Figure Approx. H190mm / Tsubasa Hanekawa: Main Figure Approx. H180mm,ATBC-PVC/ABS/ Polyester
FIGURE-030310,2017-11-01 00:00:00,15180,Alter,"""Arpeggio of Blue Steel"" Series",Takao,Touji Tanaka ,1/6,Approx. H230mm,
FIGURE-055686,2020-10-01 00:00:00,16500,APEX,Senkan Shoujo R,Lexington,,1/7,Approx. H24cm,PVC & ABS
HOB-FIG-1816,2005-02-01 00:00:00,21384,Musashiya,LoveHina,Naru Narusegawa,Ushio Karumagi ,1/5,Approx. L33cm,
HOB-FIG-6794,2008-01-01 00:00:00,23100,New Line,Neon Genesis Evangelion,,Goemon ,1/6,,
HOB-FIG-9105A,2008-08-01 00:00:00,1130,former SEGA,Urusei Yatsura,Lum,Satoshi Gomita Heavy Gauge,,Approx. H12cm,
FIGURE-043563-R,2020-04-01 00:00:00,17112,Good Smile Company,"""Fate"" Series",Mash Kyrielight (Mashu Kyrielite)(Shielder),Masahiro Hiraoka Moe,1/7,Approx. H115mm / Base: Approx. dia. 210mm,ABS & PVC
HOB-FIG-5171C,2007-06-01 00:00:00,4320,MegaHouse,Saint Seiya,,Hitoshi Tobe Heavy Gauge,Approx. 1/8,,
FIGURE-056016,2020-10-01 00:00:00,21780,Hobby Stock,"""Senki Zessho Symphogear"" Series",Kirika Akatsuki,Hokke ,1/7,Approx. H245mm,"ABS, PVC"
FIG-MOE-2341,2011-05-01 00:00:00,30780,YAMATO,,,Erick Sosa ,,Approx. H290mm (including Base),
FIGURE-032737,2018-01-01 00:00:00,14190,KADOKAWA,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (Classroom of the Elite),Honami Ichinose,Fumiyoshi Tokunaga ,1/7,Approx. H225mm,PVC
FIGURE-611128-R,2020-08-01 00:00:00,980,Bandai,My Hero Academia (Boku no Hero Academia),Ochaco Uraraka(Uravity),,,Approx. 15cm,
FIGURE-046778,2020-01-01 00:00:00,19580,ACTOYS,Shen Dai Meng Hua Tan,Nidhogg,ACTOYS,1/8,Approx. H24cm (including base),"PVC, ABS"
FIG-MOE-8779-R,2013-08-01 00:00:00,1740,former SEGA,Martian Successor Nadesico,Ruri Hoshino,,,Approx. 20 x 10cm,
FIGURE-005138-R,2014-09-01 00:00:00,1010,FuRyu,World Conquest Zvezda Plot,Itsuka Shikabane(Plamya),,,Approx. H20cm,
FIGURE-048323,2020-01-01 00:00:00,18480,Mouse Unit,Tentacle and Witches,Lily Ramses Futaba,Justice MouseUnit,1/6,Approx. 22cm,PVC
FIG-MOE-1429,2010-04-01 00:00:00,4180,WAVE,,,HOKUSOH ,1/10,Approx. H160mm,
FIG-MOE-2635,2011-09-01 00:00:00,13824,YAMATO,NO MORE HEROES,Sylvia Christel,Mitsumasa Yoshizawa REFLECT,,Approx. H220mm,"PVC, ABS"
FIGURE-040354,2018-11-01 00:00:00,15180,Kenelephant,"""Fate"" Series",Nero Claudius(Saber/Caster),,,Approx. H185mm,"Main Part: PVC, ABS / Base: ABS"
FIGURE-028509,2018-01-01 00:00:00,13824,Alter,Food Wars! Shokugeki no Soma Season 2,Ikumi Mito,Touji Tanaka ,1/7,Approx. H240mm,
FIG-MOE-0272,2009-01-01 00:00:00,7480,former Taki Corporation,Ikkitousen (Battle Vixens),Shimei Ryomou,,1/7,,
FIG-MOE-1917,2010-10-01 00:00:00,13200,MegaHouse,Macross Frontier,Klan Klang,Mohio ,Approx. 1/72 (non-scale),,
HOB-FIG-8004,2008-04-01 00:00:00,21780,Musashiya,Martian Successor Nadesico,Ruri Hoshino,Ushio Karumagi ,1/5,32cm,
HOB-FIG-8333-R,2008-06-01 00:00:00,6380,Kotobukiya,Nagasarete Airanto,Suzu,Takaku & Takeshi ,1/7,Approx. H225mm,
HOB-FIG-3186,2006-05-01 00:00:00,4400,Toranoana,ToHeart2,Manaka Komaki,Yasuyuki Arakawa Alumite,1/8,,
FIG-MOE-4939-R,2012-05-01 00:00:00,9680,Alter,Senjou no Valkyria (Valkyria Chronicles),Selvaria Bles,Toshiyuki Yagyu ,1/7,Approx. H290mm Including the Shower (Approx. 240mm up to Head),
FIG-MOE-1820,2010-07-01 00:00:00,8580,Griffon Enterprises,Queen's Blade,Alleyne,Akio Akiyama ,1/7,,
FIGURE-012846-R,2015-11-01 00:00:00,13200,Aniplex,Puella Magi Madoka Magica,Kyoko Sakura,Mai Nakamura Colobito,1/8,Approx. H210mm,
FIG-MOE-0805,2009-10-01 00:00:00,7560,Atelier Sai,,,Koichi Sakurai ,1/8,Approx. 220mm,
FIGURE-018895,2016-10-01 00:00:00,12100,Flare,"""Fate"" Series",Nero Claudius(Saber/Caster),French Doll Cerberus Project TM,,Approx. H250mm,
FIGURE-053052,2020-01-01 00:00:00,15180,Kaitendo,Date A Live,Tohka Yatogami,Osamu Ryuzaki ,1/7,Approx. H25cm (Sword is not included),"PVC, ABS"
FIGURE-003532,2014-01-01 00:00:00,4104,amiami,Humanity Has Declined (Jinrui wa Suitaishimashita),Fairies,Hajime Kouzuki Little pink summer,1/2,Approx. H50mm,"ABS, PVC"
HOB-FIG-3336A,2006-05-01 00:00:00,3888,Happinet,BLACK CAT,Eve,Takeshi Miyagawa T's system.,1/8,Approx. H180mm,
FIGURE-054682-R,2020-05-01 00:00:00,16280,Revolve,Seven Senses of the Reunion,Asahi Kuga,Nobuta Revolve,1/7,Approx. H220mm,
FIG-MOE-6132,2012-12-01 00:00:00,3667,,Virtual Vocalist,GUMI,,,Approx. 90mm,PVC/ Base: ABS
FIG-MOE-0461-R,2009-04-01 00:00:00,7480,Alter,Penguin Musume,Sakura Nankyoku,Akatsuki ,1/8,Approx. H230mm,
FIGURE-009286-R,2015-08-01 00:00:00,17380,Phat Company,"""THE IDOLM@STER"" Series",Ranko Kanzaki,Knead/Koudai Abe ,1/8,Approx. H240mm (including base),
FIGURE-016718,2016-09-01 00:00:00,10800,Good Smile Company,Puella Magi Madoka Magica,Homura Akemi,Amato knead,1/8,Approx. H190mm,
FIG-MOE-1440,2010-03-01 00:00:00,7344,Kotobukiya,,,Uzou ,1/8,Approx. H200mm,
FIGURE-031570,2018-09-01 00:00:00,20166,Max Factory,"""Fate"" Series",Jeanne d'Arc(Ruler/Avenger/Jeanne d'Arc Alter Santa Lily),Satoshi Toda Principality of Kagutsuchino,1/8,Approx. H190mm,ABS & PVC
FIGURE-040287,2018-12-01 00:00:00,18231,Magic Mould,ARMS NOTE,Bionic Joshi Kosei,Jun Eldora Model,1/7,Approx. H240mm,
FIG-MOE-8178-R,2013-04-01 00:00:00,4950,Bandai,Smile PreCure!,Yayoi Kise(Cure Peace),,,Approx. H160mm,"ABS, PVC"
HOB-FIG-2915B,2006-01-01 00:00:00,4104,MegaHouse,Mobile Suit Gundam SEED Destiny,Lacus Clyne,,Approx. 1/8,Approx. 190-200mm,
HOB-FIG-7034,2008-04-01 00:00:00,6994,OrchidSeed,Gekko no Carnevale,Anna,Keiichiro Ogawa SPIRAL,1/7,Approx. H23cm,
FIG-MOE-8055,2013-07-01 00:00:00,8424,,Panty & Stocking with Garterbelt,Scanty,"Tsuyoshi Takahashi, Munetoshi Makio Yi qi yon hua yi bei ju",1/8,Approx. H200mm,
FIGURE-052683,2020-04-01 00:00:00,14080,Kotobukiya,Marvel Comics,Jean Grey Summers(Phoenix/Dark Phoenix/Marvel Girl),Tsubame ,1/7,Approx. H235mm (including base),PVC
HOB-FIG-7705,2008-04-01 00:00:00,5940,WAVE,Fortune Arterial,Erika Sendo,zenko Iousen,1/8,,
HOB-FIG-2924B,2006-01-01 00:00:00,1598,MegaHouse,Mobile Suit Gundam SEED Destiny,Lunamaria Hawke,,,Approx. H110mm,
FIGURE-013274,2015-09-01 00:00:00,3240,Tsukuri,Ultimate! Nipako-chan,Selene P. Nippanu(Nipako),,,Approx. 13.5cm (non-scale),
FIG-MOE-6729,2013-03-01 00:00:00,10780,,ToHeart2,Tamaki Kosaka,Takeshi Miyagawa T's system.,1/8,H21cm,
FIGURE-006730,2014-10-01 00:00:00,6980,,Sword Art Online,Rika Shinozaki(Lisbeth),,1/10,Approx. H170mm not including base,"PVC, ABS (non-phthalate ester)"
FIGURE-004687-R,2014-08-01 00:00:00,10780,Alter,To Love-Ru Darkness,Mikan Yuuki,Teruyuki ,1/7,Approx. 230mm including cushion,
FIGURE-040887,2019-01-01 00:00:00,17064,PULCHRA,Azur Lane,Ayanami,"sebe, Kenzo- moineau",1/7,Approx. 220mm,PVC
FIG-MOE-4079,2012-03-01 00:00:00,10594,e Jeuness,E2,Kurumi,Takeshi Miyagawa Clayz,1/8,,
FIG-MOE-1348,2011-01-01 00:00:00,8424,Kotobukiya,,,Shinpei Yokoshima Gouhondou,1/7,Approx. H245mm (270mm including base),
HOB-FIG-6257,2007-10-01 00:00:00,6264,Kotobukiya,Utawarerumono,Camus,IBUKI ,1/8,Approx. H220mm,
FIGURE-018259,2016-11-01 00:00:00,9800,FREEing,Love Live!,Nico Yazawa,Yokoyama ,1/8,Approx. H190mm,
HOB-FIG-7687,2008-02-01 00:00:00,5965,Toy's Works,Mamoru-kun ni Megami no Shukufuku wo!,Ayako Takasu,Atsushi Satou Megatech Body,1/8,Approx. H20cm,"PVC, ABS"
